DATE,PopEst
Jan-11,311037
Feb-11,311189
Mar-11,311351
Apr-11,311522
May-11,311699
Jun-11,311894
Jul-11,312101
Aug-11,312317
Sep-11,312537
Oct-11,312737
Nov-11,312920
Dec-11,313096
Jan-12,313261
Feb-12,313419
Mar-12,313583
Apr-12,313749
May-12,313924
Jun-12,314114
Jul-12,314317
Aug-12,314535
Sep-12,314750
Oct-12,314954
Nov-12,315143
Dec-12,315311
Jan-13,315455
Feb-13,315591
Mar-13,315740
Apr-13,315901
May-13,316077
Jun-13,316265
Jul-13,316470
Aug-13,316693
Sep-13,316914
Oct-13,317125
Nov-13,317320
Dec-13,317503
Jan-14,317674
Feb-14,317836
Mar-14,318003
Apr-14,318179
May-14,318367
Jun-14,318563
Jul-14,318778
Aug-14,319010
Sep-14,319240
Oct-14,319459
Nov-14,319655
Dec-14,319837
Jan-15,320002
Feb-15,320153
Mar-15,320317
Apr-15,320493
May-15,320679
Jun-15,320876
Jul-15,321090
Aug-15,321315
Sep-15,321540
Oct-15,321755
Nov-15,321950
Dec-15,322138
Jan-16,322315
Feb-16,322475
Mar-16,322636
Apr-16,322811
May-16,322994
Jun-16,323190
Jul-16,323396
Aug-16,323606
Sep-16,323815
Oct-16,324013
Nov-16,324191
Dec-16,324357
Jan-17,324510
Feb-17,324648
Mar-17,324788
Apr-17,324940
May-17,325103
Jun-17,325277
Jul-17,325468
Aug-17,325667
Sep-17,325866
Oct-17,326054
Nov-17,326222
Dec-17,326378
Jan-18,326527
Feb-18,326669
Mar-18,326812
Apr-18,326968
May-18,327134
Jun-18,327312
Jul-18,327502
Aug-18,327698
Sep-18,327893
Oct-18,328077
Nov-18,328241
Dec-18,328393
